CodigoArticulo|Descripcion|Departamento(Tienda)|CLIENTE/PROVEEDOR|CodigoCliente|TipoCliente|NombreCliente|CodigoSucursal|NombreSucursal|Direccion|Region|Departamento|zona|Cantidad|PrecioUnitario|Costo|Fecha
AB000029|Estufa|Electrodomesticos|P|TR98357|Mayorista|Dui Fusce LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|45|2399|1679.3|01/02/2017
AB000069|90210 GOLD JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|NW63423|Mayorista|Pellentesque A Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|236|165.2|01/08/2015
AB000058|360 RED PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|LC61454|Mayorista|Id Magna Et LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|391|273.7|01/06/2016
AB000049|273 FRED HAYMAN ́S DAMA PERFUME 75|Perfumeria|P|WQ97984|Mayorista|Egestas Urna Justo Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|431|301.7|01/02/2017
AB000027|Pelota de baseball|Deporte|P|XA93251|Mayorista|Sed Dolor Fusce Associates|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|140|98|01/02/2017
AB000003|Pantalon de mezclilla|Ropa de Dama|P|SN68257|Mayorista|Eu Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|38|120|84|01/06/2016
AB000007|Falda corta|Ropa de Dama|P|LE99274|Mayorista|Curabitur Corporation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|27|60|42|01/02/2016
AB000063|5TH NYC PREMIERE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|P|KL32736|Mayorista|Cum Sociis Natoque Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|39|380|266|01/06/2015
AB000017|Camisa|Ropa de niños|P|JT56112|Mayorista|Sodales Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|38|60|42|01/09/2016
AB000066|90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|XD49865|Mayorista|Suspendisse Aliquet Limited|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|28|351|245.7|01/01/2017
AB000094|ALLURE CHANEL DAMA TOILETTE 100|Perfumeria|P|YW27614|Mayorista|Blandit At LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|37|1081|756.7|01/06/2017
AB000030|Refrigeradora|Electrodomesticos|P|RL84637|Mayorista|Vulputate Eu Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|38|5999|4199.3|01/07/2016
AB000071|90210 METAL JEANS TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100|Perfumeria|P|RE72959|Mayorista|Adipiscing Ligula Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|266|186.2|01/01/2017
AB000066|90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|LQ88229|Mayorista|Augue Ut Lacus Associates|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|34|351|245.7|01/02/2015
AB000049|273 FRED HAYMAN ́S DAMA PERFUME 75|Perfumeria|P|TN43869|Mayorista|Lobortis PC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|431|301.7|01/08/2016
AB000083|A SCENT BY ISSEY MIYAKE ISSEY MIYAKE DAMA TOILETTE 100|Perfumeria|P|GB87774|Mayorista|Risus In Mi Industries|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|44|711|497.7|01/01/2017
AB000092|AIRE LOEWE LOEWE DAMA TOILETTE 100|Perfumeria|P|GK73188|Mayorista|Pede Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|41|626|438.2|01/01/2016
AB000091|AIRE LOCO LOEWE DAMA TOILETTE 100|Perfumeria|P|LB17499|Mayorista|Sed Dictum Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|26|831|581.7|01/05/2016
AB000083|A SCENT BY ISSEY MIYAKE ISSEY MIYAKE DAMA TOILETTE 100|Perfumeria|P|XC43143|Mayorista|Sem Eget LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|20|711|497.7|01/06/2017
AB000069|90210 GOLD JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|KS15919|Mayorista|Feugiat Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|48|236|165.2|01/08/2015
AB000077|90210 TOUCH OF GOLD TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|MZ65188|Mayorista|Elementum At Egestas Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|331|231.7|01/04/2017
AB000076|90210 SPORT EXTREME TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|SV76623|Mayorista|Sem LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|226|158.2|01/04/2017
AB000051|360 PERRY ELLIS DAMA TOILETTE 100|Perfumeria|P|WX14184|Mayorista|Gravida Praesent Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|30|390|273|01/06/2017
AB000023|Bicicleta estacionaria|Deporte|P|NE19416|Mayorista|Ac Ipsum Institute|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|22|1575|1102.5|01/04/2017
AB000001|Blusa para dama|Ropa de Dama|P|VU61112|Mayorista|Convallis Convallis Corporation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|50|35|01/02/2016
AB000074|90210 RED JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|MX75714|Mayorista|Duis Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|46|100|70|01/02/2017
AB000032|Secadora de ropa|Electrodomesticos|P|QD37241|Mayorista|Integer Tincidunt Aliquam Inc.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|23|2840|1988|01/03/2017
AB000088|ADIDAS FRESH VIBES ADIDAS DAMA TOILETTE 50|Perfumeria|P|SN44569|Mayorista|Ac Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|191|133.7|01/07/2015
AB000018|Playera|Ropa de niños|P|PC34354|Mayorista|Tincidunt Tempus LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|28|60|42|01/08/2016
AB000033|Televisor 40"|Electrodomesticos|P|CG71283|Mayorista|Nonummy Ut Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|41|4500|3150|01/06/2017
AB000035|Amueblado de sala|Muebles|P|TR14454|Mayorista|A Felis Ullamcorper Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|5400|3780|01/04/2015
AB000087|ADIDAS FLORAL DREAM ADIDAS DAMA TOILETTE 50|Perfumeria|P|VW35514|Mayorista|Odio Inc.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|45|191|133.7|01/09/2015
AB000089|ADIDAS TROPICAL PASSION ADIDAS DAMA TOILETTE 50|Perfumeria|P|ZK33632|Mayorista|Rutrum Urna Nec Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|191|133.7|01/11/2015
AB000029|Estufa|Electrodomesticos|P|LF82249|Mayorista|Quam A LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|27|2399|1679.3|01/01/2016
AB000012|Pantalon de mezclilla|Ropa de caballero|P|MP63625|Mayorista|Ultrices Duis Volutpat Associates|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|25|140|98|01/03/2017
AB000063|5TH NYC PREMIERE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|P|YF75518|Mayorista|Mattis Semper Dui Institute|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|50|380|266|01/06/2015
AB000057|360 PURPLE PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|WL53371|Mayorista|Condimentum Eget Volutpat Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|29|495|346.5|01/03/2015
AB000081|90210 TOUCH PINK TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|KF27823|Mayorista|Eu Eros Nam Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|46|256|179.2|01/09/2016
AB000073|90210 PURE SEXY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100|Perfumeria|P|WW15854|Mayorista|In Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|44|291|203.7|01/02/2015
AB000089|ADIDAS TROPICAL PASSION ADIDAS DAMA TOILETTE 50|Perfumeria|P|VZ17471|Mayorista|Luctus Industries|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|191|133.7|01/06/2016
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|P|WV21923|Mayorista|Molestie Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|990|693|01/01/2017
AB000009|Camisa polo|Ropa de caballero|P|WX37251|Mayorista|Pretium Aliquet Metus Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|34|120|84|01/02/2016
AB000066|90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|BY33729|Mayorista|Lacus Limited|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|351|245.7|01/11/2015
AB000080|90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|NX96558|Mayorista|Penatibus Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|276|193.2|01/03/2016
AB000019|Caminadora|Deporte|P|GY95757|Mayorista|Sagittis Lobortis Mauris PC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|34|3800|2660|01/11/2016
AB000095|ALLURE CHANEL DAMA PERFUME 100|Perfumeria|P|MW63791|Mayorista|Proin LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|21|1381|966.7|01/04/2017
AB000006|Vestidos|Ropa de Dama|P|ZQ96116|Mayorista|Velit Corporation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|90|63|01/11/2015
AB000058|360 RED PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|ME95877|Mayorista|Neque Pellentesque Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|34|391|273.7|01/04/2017
AB000052|360 BLACK PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|JM48674|Mayorista|Ante LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|21|376|263.2|01/05/2015
AB000009|Camisa polo|Ropa de caballero|P|LR83328|Mayorista|Nec Leo Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|47|120|84|01/03/2015
AB000017|Camisa|Ropa de niños|P|DZ55645|Mayorista|Semper Et Lacinia Associates|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|23|60|42|01/11/2015
AB000037|Cama|Muebles|P|BU53438|Mayorista|Luctus Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|45|4210|2947|01/02/2017
AB000008|Falda Larga|Ropa de Dama|P|YR18376|Mayorista|Orci LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|70|49|01/04/2017
AB000040|Computadora|Electronicos|P|FG13627|Mayorista|Nulla Interdum Curabitur Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|6550|4585|01/04/2016
AB000091|AIRE LOCO LOEWE DAMA TOILETTE 100|Perfumeria|P|MA31163|Mayorista|Feugiat Tellus Lorem Incorporated|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|25|831|581.7|01/07/2016
AB000026|Pelota de basketball|Deporte|P|FU49931|Mayorista|Nam Tempor Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|25|169|118.3|01/10/2015
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|P|ZJ98595|Mayorista|Ultrices Sit Company|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|990|693|01/04/2015
AB000080|90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|HW71671|Mayorista|Proin Vel Arcu Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|20|276|193.2|01/06/2015
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|P|MQ77396|Mayorista|Auctor Mauris Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|36|990|693|01/11/2016
AB000054|360 COLLECTION PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|ML34358|Mayorista|Ac Facilisis LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|571|399.7|01/08/2015
AB000095|ALLURE CHANEL DAMA PERFUME 100|Perfumeria|P|JT41914|Mayorista|Morbi Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|22|1381|966.7|01/01/2016
AB000032|Secadora de ropa|Electrodomesticos|P|BD98856|Mayorista|Bibendum Fermentum Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|2840|1988|01/09/2015
AB000054|360 COLLECTION PERRY ELLIS DAMA PERFUME 100|Perfumeria|P|SV81439|Mayorista|Vestibulum PC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|42|571|399.7|01/06/2015
AB000021|Pelota medicinal|Deporte|P|PT97679|Mayorista|Pede Praesent Industries|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|150|105|01/01/2016
AB000064|5TH AVENUE NIGHTS ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|P|PT48994|Mayorista|Lacinia Vitae LLC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|335|234.5|01/05/2017
AB000014|Chumpa de cuero|Ropa de caballero|P|LF88459|Mayorista|Lorem Luctus Ut Institute|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|24|600|420|01/06/2015
AB000040|Computadora|Electronicos|P|SU45845|Mayorista|Nec Ante Maecenas Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|49|6550|4585|01/04/2016
AB000026|Pelota de basketball|Deporte|P|ZX55584|Mayorista|Vulputate Risus Limited|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|26|169|118.3|01/05/2017
AB000073|90210 PURE SEXY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100|Perfumeria|P|FS69939|Mayorista|Ipsum Corporation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|26|291|203.7|01/09/2015
AB000087|ADIDAS FLORAL DREAM ADIDAS DAMA TOILETTE 50|Perfumeria|P|GG16557|Mayorista|Ut Aliquam Iaculis Associates|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|40|191|133.7|01/06/2017
AB000080|90210 VERY SEXY 2 TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100|Perfumeria|P|FX58525|Mayorista|Nunc Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|33|276|193.2|01/06/2015
AB000051|360 PERRY ELLIS DAMA TOILETTE 100|Perfumeria|P|VV53934|Mayorista|Iaculis Lacus Pede Corp.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|390|273|01/02/2017
AB000042|Laptop DELL|Electronicos|P|MU68338|Mayorista|Rhoncus Nullam PC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|37|5400|3780|01/09/2015
AB000064|5TH AVENUE NIGHTS ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|P|FF93811|Mayorista|Elit Fermentum Risus Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|48|335|234.5|01/12/2015
AB000040|Computadora|Electronicos|P|GR71829|Mayorista|Eget Ltd|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|26|6550|4585|01/10/2016
AB000073|90210 PURE SEXY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100|Perfumeria|P|KL25699|Mayorista|Ornare Egestas Ligula Limited|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|32|291|203.7|01/02/2016
AB000012|Pantalon de mezclilla|Ropa de caballero|P|WR15121|Mayorista|Sapien Cras Dolor PC|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|22|140|98|01/01/2015
AB000008|Falda Larga|Ropa de Dama|P|YS38377|Mayorista|Sit LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|39|70|49|01/10/2015
AB000011|Pantalon de vestir|Ropa de caballero|P|MH98481|Mayorista|Luctus Et Ultrices Industries|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|36|140|98|01/07/2015
AB000042|Laptop DELL|Electronicos|P|GB95125|Mayorista|Dolor Sit Amet Institute|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|5400|3780|01/04/2017
AB000030|Refrigeradora|Electrodomesticos|P|LZ68724|Mayorista|Sed Auctor Odio Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|44|5999|4199.3|01/03/2017
AB000017|Camisa|Ropa de niños|P|BH46389|Mayorista|Augue Consulting|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|42|60|42|01/01/2016
AB000063|5TH NYC PREMIERE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|P|HE39815|Mayorista|Nunc Sit Amet Inc.|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|43|380|266|01/05/2017
AB000004|Blazer|Ropa de Dama|P|PP58745|Mayorista|Nostra Per Inceptos Foundation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|27|180|126|01/04/2016
AB000010|Camisa de vestir|Ropa de caballero|P|CL79515|Mayorista|Amet Nulla Donec LLP|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|28|150|105|01/06/2016
AB000032|Secadora de ropa|Electrodomesticos|P|FQ39259|Mayorista|Accumsan Corporation|S1|Sucursal Elite 1|4a Av. 23-29|Norte|Guatemala|1|31|2840|1988|01/04/2017
